nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Maxwell Hairston,CB,45,75.1,90.2,-15.1,4688931,2
Falcons D/ST,DST,27,121.0,136.3,-15.3,-16001,1
Dorance Armstrong,DE,46,53.4,68.7,-15.3,3928979,28
Calais Campbell,DT,70,35.4,50.7,-15.3,11284,33
Quincy Williams,LB,34,105.3,120.7,-15.4,3110565,5
Rueben Bain Jr.,DE,47,52.8,68.7,-15.9,4870617,27
Javon Bullard,CB,46,74.3,90.2,-15.9,4688930,9
Bills D/ST,DST,28,120.3,136.3,-16.0,-16002,2
Ty Okada,S,41,83.2,99.3,-16.1,4247808,26
Braden Fiske,DT,71,34.6,50.7,-16.1,4362245,14
DJ Turner II,CB,47,73.8,90.2,-16.4,4572036,4
Mike Hughes,CB,48,73.8,90.2,-16.4,3895841,1
Zaire Franklin,LB,35,104.0,120.7,-16.7,3124005,9
Demetrius Knight Jr.,LB,36,104.0,120.7,-16.7,4427729,4
